city,city_ascii,state_id,state_name,county_name,population
Houma,Houma,LA,Louisiana,Terrebonne,140469
Monroe,Monroe,LA,Louisiana,Ouachita,112891
Mandeville,Mandeville,LA,Louisiana,St. Tammany,95968
Slidell,Slidell,LA,Louisiana,St. Tammany,93040
Portland,Portland,ME,Maine,Cumberland,203969
Bangor,Bangor,ME,Maine,Penobscot,59772
Lewiston,Lewiston,ME,Maine,Androscoggin,58802
Sanford,Sanford,ME,Maine,York,29535
Waterville,Waterville,ME,Maine,Kennebec,27054
South Portland,South Portland,ME,Maine,Cumberland,25532
Auburn,Auburn,ME,Maine,Androscoggin,23414
Augusta,Augusta,ME,Maine,Kennebec,22116
Biddeford,Biddeford,ME,Maine,York,21504
Saco,Saco,ME,Maine,York,19964
Baltimore,Baltimore,MD,Maryland,Baltimore,2106068
Hagerstown,Hagerstown,MD,Maryland,Washington,184755
Frederick,Frederick,MD,Maryland,Frederick,156787
Salisbury,Salisbury,MD,Maryland,Wicomico,106447
Columbia,Columbia,MD,Maryland,Howard,103663
Germantown,Germantown,MD,Maryland,Montgomery,90844
Silver Spring,Silver Spring,MD,Maryland,Montgomery,79750
Waldorf,Waldorf,MD,Maryland,Charles,74587
Ellicott City,Ellicott City,MD,Maryland,Howard,72247
Glen Burnie,Glen Burnie,MD,Maryland,Anne Arundel,69813
Boston,Boston,MA,Massachusetts,Suffolk,4688346
Springfield,Springfield,MA,Massachusetts,Hampden,623401
Worcester,Worcester,MA,Massachusetts,Worcester,498328
Barnstable Town,Barnstable Town,MA,Massachusetts,Barnstable,242847
New Bedford,New Bedford,MA,Massachusetts,Bristol,149910
Leominster,Leominster,MA,Massachusetts,Worcester,119690
Cambridge,Cambridge,MA,Massachusetts,Middlesex,118927
Lowell,Lowell,MA,Massachusetts,Middlesex,110997
Brockton,Brockton,MA,Massachusetts,Plymouth,95708
Quincy,Quincy,MA,Massachusetts,Norfolk,94470
Detroit,Detroit,MI,Michigan,Wayne,3506126
Grand Rapids,Grand Rapids,MI,Michigan,Kent,609314
Flint,Flint,MI,Michigan,Genesee,332190
Lansing,Lansing,MI,Michigan,Ingham,324286
Ann Arbor,Ann Arbor,MI,Michigan,Washtenaw,322267
Kalamazoo,Kalamazoo,MI,Michigan,Kalamazoo,215193
Muskegon,Muskegon,MI,Michigan,Muskegon,153565
Warren,Warren,MI,Michigan,Macomb,133943
Sterling Heights,Sterling Heights,MI,Michigan,Macomb,132438
South Lyon,South Lyon,MI,Michigan,Oakland,124694
Minneapolis,Minneapolis,MN,Minnesota,Hennepin,2977172
St. Paul,St. Paul,MN,Minnesota,Ramsey,308096
Rochester,Rochester,MN,Minnesota,Olmsted,119942
Duluth,Duluth,MN,Minnesota,St. Louis,119476
St. Cloud,St. Cloud,MN,Minnesota,Stearns,115028
Bloomington,Bloomington,MN,Minnesota,Hennepin,84943
Brooklyn Park,Brooklyn Park,MN,Minnesota,Hennepin,80389
Plymouth,Plymouth,MN,Minnesota,Hennepin,79768
Woodbury,Woodbury,MN,Minnesota,Washington,72828
Maple Grove,Maple Grove,MN,Minnesota,Hennepin,72622
Jackson,Jackson,MS,Mississippi,Hinds,325350
Gulfport,Gulfport,MS,Mississippi,Harrison,220987
Hattiesburg,Hattiesburg,MS,Mississippi,Forrest,80138
Southaven,Southaven,MS,Mississippi,DeSoto,55780
Pascagoula,Pascagoula,MS,Mississippi,Jackson,48869
Biloxi,Biloxi,MS,Mississippi,Harrison,46212
Tupelo,Tupelo,MS,Mississippi,Lee,45466
Olive Branch,Olive Branch,MS,Mississippi,DeSoto,38924
Oxford,Oxford,MS,Mississippi,Lafayette,38310
Meridian,Meridian,MS,Mississippi,Lauderdale,36686
St. Louis,St. Louis,MO,Missouri,St. Louis,2024074
Kansas City,Kansas City,MO,Missouri,Jackson,1636715
Springfield,Springfield,MO,Missouri,Greene,288090
Columbia,Columbia,MO,Missouri,Boone,141645
Independence,Independence,MO,Missouri,Jackson,116672
Lee's Summit,Lee's Summit,MO,Missouri,Jackson,92522
O'Fallon,O'Fallon,MO,Missouri,St. Charles,88673
Joplin,Joplin,MO,Missouri,Jasper,84048
St. Joseph,St. Joseph,MO,Missouri,Buchanan,79161
St. Charles,St. Charles,MO,Missouri,St. Charles,71028
Billings,Billings,MT,Montana,Yellowstone,120728
Missoula,Missoula,MT,Montana,Missoula,92895
Great Falls,Great Falls,MT,Montana,Cascade,65131
Bozeman,Bozeman,MT,Montana,Gallatin,57695
Helena,Helena,MT,Montana,Lewis and Clark,52936
Kalispell,Kalispell,MT,Montana,Flathead,39182
Butte,Butte,MT,Montana,Silver Bow,30904
Belgrade,Belgrade,MT,Montana,Gallatin,17743
Havre,Havre,MT,Montana,Hill,10155
Miles City,Miles City,MT,Montana,Custer,9436
Omaha,Omaha,NE,Nebraska,Douglas,847819
Lincoln,Lincoln,NE,Nebraska,Lancaster,289490
Bellevue,Bellevue,NE,Nebraska,Sarpy,53544
Grand Island,Grand Island,NE,Nebraska,Hall,53296
Kearney,Kearney,NE,Nebraska,Buffalo,34418
Fremont,Fremont,NE,Nebraska,Dodge,27456
Norfolk,Norfolk,NE,Nebraska,Madison,27032
Scottsbluff,Scottsbluff,NE,Nebraska,Scotts Bluff,25114
Hastings,Hastings,NE,Nebraska,Adams,24101
North Platte,North Platte,NE,Nebraska,Lincoln,24098
Las Vegas,Las Vegas,NV,Nevada,Clark,2104198
Reno,Reno,NV,Nevada,Washoe,445020
Henderson,Henderson,NV,Nevada,Clark,320189
North Las Vegas,North Las Vegas,NV,Nevada,Clark,251974
Paradise,Paradise,NV,Nevada,Clark,233689
Spring Valley,Spring Valley,NV,Nevada,Clark,199722
Sunrise Manor,Sunrise Manor,NV,Nevada,Clark,192934
Enterprise,Enterprise,NV,Nevada,Clark,164314
Sparks,Sparks,NV,Nevada,Washoe,105006
Carson City,Carson City,NV,Nevada,Carson City,58756
Nashua,Nashua,NH,New Hampshire,Hillsborough,233917
