key,impact_chosen,title,relevance
AZ-HB2903-Y2020,None,"Higher education; budget reconciliation; 2020-2021. ","'Community college' => 'Education', 'Higher education' => 'Education', 'Financial aid' => 'Education', 'Arizona' => 'Location', 'Community' => 'None'"
AZ-HB2904-Y2020,None,"Human services; budget reconciliation; 2020-2021. ","'Arizona' => 'Location', 'Audit' => 'None', 'Human' => 'None', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HB2905-Y2020,Healthcare,"Health; budget reconciliation; 2020-2021. ","'Health' => 'Healthcare', 'Arizona' => 'Location', 'County' => 'None', 'Legislature' => 'None', 'Payment' => 'None'"
AZ-HB2906-Y2020,Environment,"Environment; budget reconciliation; 2020-2021. ","'Environment' => 'Environment', 'Water resources' => 'Environment', 'Water' => 'Environment', 'Underground storage tank' => 'Environment', 'Arizona' => 'Location'"
AZ-HB2907-Y2020,Safety,"Budget procedures; budget reconciliation; 2020-2021. ","'Housing' => 'Safety', 'Motor vehicle' => 'Transportation', 'Arizona' => 'Location', 'Legislature' => 'None', 'President' => 'None'"
AZ-HB2908-Y2020,Jobs,"Capital outlay; appropriations; 2020-2021. ","'Construction' => 'Jobs', 'Airport' => 'Transportation', 'Highway' => 'Transportation', 'State highway' => 'Transportation', 'Transport' => 'Transportation'"
AZ-HB2909-Y2020,Environment,"General appropriations act; 2020-2021. ","'Colorado River' => 'Environment', 'Conservation' => 'Environment', 'Environment' => 'Environment', 'Hazardous waste' => 'Environment', 'Natural resource' => 'Environment'"
AZ-HB2910-Y2020,None,"Public school closures; coronavirus disease. ","'Public school' => 'Education', 'School' => 'Education', 'Arizona' => 'Location', 'United States' => 'Location', 'Legislature' => 'None'"
AZ-HB2911-Y2020,Jobs,"Unemployment compensation; coronavirus disease. ","'Unemployment' => 'Jobs', 'Arizona' => 'Location', 'United States' => 'Location', 'Legislature' => 'None', 'State' => 'None'"
AZ-HB2912-Y2020,None,"COVID-19; civil liability; evidence; penalties. ","'Arizona' => 'Location', 'Legislature' => 'None', 'State' => 'None', 'Statute' => 'None'"
AZ-HB2913-Y2020,None,"Supplemental appropriations; child care facilities. ","'Arizona' => 'Location', 'Legislature' => 'None', 'Purchasing' => 'None', 'State' => 'None', 'Statute' => 'None'"
AZ-HCM2001-Y2020,None,"Urging establishment; federalism task force. ","'New York' => 'Location', 'Pennsylvania' => 'Location', 'Washington' => 'Location', 'Arizona' => 'Location', 'United States' => 'Location'"
AZ-HCM2002-Y2020,Environment,"Nogales wastewater fairness; urging Congress. ","'Waste' => 'Environment', 'Wastewater' => 'Environment', 'Water' => 'Environment', 'Plant' => 'Environment', 'Intern' => 'Jobs'"
AZ-HCM2003-Y2020,Jobs,"Urging eradication; salt cedars; waterways. ","'Agriculture' => 'Jobs', 'Arizona' => 'Location', 'United States' => 'Location', 'House of Representatives' => 'None', 'Legislature' => 'None'"
AZ-HCM2004-Y2020,Environment,"Yuma desalting plant; continued operation. ","'Colorado River' => 'Environment', 'Irrigation' => 'Environment', 'Water' => 'Environment', 'Plant' => 'Environment', 'Mexico' => 'Location'"
AZ-HCM2005-Y2020,None,"Postal service; urging independence; prefunding. ","'Arizona' => 'Location', 'United States' => 'Location', 'House of Representatives' => 'None', 'Legislature' => 'None', 'Memorial' => 'None'"
AZ-HCM2006-Y2020,None,"Remote sellers; taxes; urging Congress. ","'Arizona' => 'Location', 'United States' => 'Location', 'House of Representatives' => 'None', 'Legislature' => 'None', 'Memorial' => 'None'"
AZ-HCM2007-Y2020,None,"Navajo generating station; PROMISE Act. ","'Navajo Nation' => 'Location', 'Arizona' => 'Location', 'United States' => 'Location', 'Economics' => 'None', 'House of Representatives' => 'None'"
AZ-HCM2008-Y2020,None,"Ports of entry; seven-day entry. ","'Mexico' => 'Location', 'Texas' => 'Location', 'Arizona' => 'Location', 'California' => 'Location', 'United States' => 'Location'"
AZ-HCM2009-Y2020,Environment,"Floodwater harvesting; study; urging Congress. ","'Colorado River' => 'Environment', 'Illinois' => 'Location', 'Kentucky' => 'Location', 'Louisiana' => 'Location', 'Mexico' => 'Location'"
AZ-HCR2001-Y2019,None,"English language education; requirements. ","'Public school' => 'Education', 'Arizona' => 'Location', 'Constitution' => 'None', 'English language' => 'None', 'House of Representatives' => 'None'"
AZ-HCR2002-Y2019,None,"Ratification; equal rights amendment.. ","'Arizona' => 'Location', 'United States' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Legislature' => 'None'"
AZ-HCR2003-Y2019,None,"English language education; requirements. ","'Public school' => 'Education', 'Arizona' => 'Location', 'Constitution' => 'None', 'English language' => 'None', 'House of Representatives' => 'None'"
AZ-HCR2004-Y2019,Healthcare,"Public programs; citizens; repeal. ","'Child care' => 'Healthcare', 'Child' => 'Safety', 'Arizona' => 'Location', 'United States' => 'Location', 'Constitution' => 'None'"
AZ-HCR2005-Y2019,None,"Schools; consolidation; unification. ","'Curriculum' => 'Education', 'School district' => 'Education', 'School districts' => 'Education', 'School' => 'Education', 'Arizona' => 'Location'"
AZ-HCR2006-Y2019,None,"Assyrian Genocide; remembrance day. ","'Syria' => 'Location', 'Arizona' => 'Location', 'Iran' => 'Location', 'United States' => 'Location', 'Assyrian people' => 'Racial'"
AZ-HCR2007-Y2019,None,"Tax expenditures; rates; supermajority vote. ","'Arizona' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HCR2008-Y2019,None,"School finance; payment deferrals; prohibition. ","'School' => 'Education', 'Arizona' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Legislature' => 'None'"
AZ-HCR2009-Y2020,None,"Veterans; disability; property valuation protection. ","'Arizona' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Legislature' => 'None', 'Person' => 'None'"
AZ-HCR2010-Y2020,Safety,"Law enforcement; first responders; honoring. ","'Law enforcement' => 'Safety', 'Arizona' => 'Location', 'United States' => 'Location', 'House of Representatives' => 'None', 'Law' => 'None'"
AZ-HCR2011-Y2020,Jobs,"Border patrol. ","'Immigration' => 'Jobs', 'Arizona' => 'Location', 'United States' => 'Location', 'House of Representatives' => 'None', 'Legislature' => 'None'"
AZ-HCR2012-Y2020,None,"Honoring Arizona rangers. ","'Arizona' => 'Location', 'United States' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Legislative Assembly' => 'None'"
AZ-HCR2013-Y2020,None,"Consumer data; privacy; federal standard. ","'Arizona' => 'Location', 'United States' => 'Location', 'Constitution' => 'None', 'Consumer' => 'None', 'House of Representatives' => 'None'"
AZ-HCR2014-Y2020,Environment,"Hardrock mining industry; recognition. ","'Environment' => 'Environment', 'United States Environmental Protection Agency' => 'Environment', 'Health' => 'Healthcare', 'Bank' => 'Jobs', 'Arizona' => 'Location'"
AZ-HCR2015-Y2020,None,"Reduction of federal landholdings. ","'Arizona' => 'Location', 'Colorado' => 'Location', 'United States' => 'Location', 'Constitution' => 'None', 'General' => 'None'"
AZ-HCR2016-Y2020,None,"Article V convention; term limits. ","'Arizona' => 'Location', 'United States' => 'Location', 'Arizona Legislature' => 'None', 'Constitution' => 'None', 'Court' => 'None'"
AZ-HCR2017-Y2020,None,"Mine inspector; appointment. ","'Arizona' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Senate' => 'None', 'State' => 'None'"
AZ-HCR2018-Y2020,Safety,"Firearm sales; transfers; background checks. ","'Firearm' => 'Safety', 'Arizona' => 'Location', 'House of Representatives' => 'None', 'Legislature' => 'None', 'License' => 'None'"
AZ-HCR2019-Y2020,None,"Right to work; repeal. ","'Arizona' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Senate' => 'None', 'State' => 'None'"
AZ-HCR2020-Y2020,Safety,"Lieutenant governor; joint candidacy. ","'Death' => 'Safety', 'Arizona' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Legislature' => 'None'"
AZ-HCR2021-Y2020,Healthcare,"Abortion data; survivors act; supporting. ","'Abortion' => 'Healthcare', 'Disease' => 'Healthcare', 'Infant' => 'Healthcare', 'Medicaid' => 'Healthcare', 'Prevention' => 'Safety'"
AZ-HCR2022-Y2020,Environment,"Energy and land use restrictions. ","'Energy' => 'Environment', 'Mexico' => 'Location', 'New Mexico' => 'Location', 'Arizona' => 'Location', 'United States' => 'Location'"
AZ-HCR2023-Y2020,None,"School districts; expenditure limit; authorization. ","'School district' => 'Education', 'School districts' => 'Education', 'School' => 'Education', 'Arizona' => 'Location', 'Constitution' => 'None'"
AZ-HCR2024-Y2020,None,"Equal rights; equal protection. ","'Arizona' => 'Location', 'House of Representatives' => 'None', 'Senate' => 'None', 'State' => 'None'"
